Date,count,location,rate
2020-04-04,37,,225.27
2020-04-04,24,,193.63
2020-04-04,15,,182.53
2020-04-04,24,,178.86
2020-04-04,20,,174.73
2020-04-04,21,,173.38
2020-04-04,129,,166.16
2020-04-04,17,,160.44
2020-04-04,12,,158.52
2020-04-04,46,,147.12
2020-04-04,6,la,136.58
2020-04-04,11,e,129.61
2020-04-04,84,,129.34
2020-04-04,37,s,128.14
2020-04-04,26,des,125.58
2020-04-04,29,,123.78
2020-04-04,16,,120.11
2020-04-04,17,,112.87
2020-04-04,33,,109.17
2020-04-04,5,,108.89
2020-04-04,10,,107.94
2020-04-04,46,,106.51
2020-04-04,9,,105.04
2020-04-04,15,,99.29
2020-04-04,39,,91.69
2020-04-04,6,,89.55
2020-04-04,28,,89.21
2020-04-04,19,,89.03
2020-04-04,19,,88.77
2020-04-04,5,,86.48
2020-04-04,39,,86.36
2020-04-04,25,,85.45
2020-04-04,15,,84.9
2020-04-04,8,,80.13
2020-04-04,18,,74.23
2020-04-04,6,,73.0
2020-04-04,27,es,72.02
2020-04-04,20,,71.12
2020-04-04,9,ce,67.36
2020-04-04,7,,66.9
2020-04-04,10,hran,66.64
2020-04-04,43,,66.62
2020-04-04,5,,65.45
2020-04-04,10,ark,64.92
2020-04-04,52,,62.84
2020-04-04,18,,62.16
2020-04-04,52,,61.2
2020-04-04,18,,60.01
2020-04-04,20,,58.59
2020-04-04,21,,58.27
2020-04-04,8,ict,58.16
2020-04-04,24,,57.29
2020-04-04,17,,56.96
2020-04-04,86,d,56.82
2020-04-04,10,,55.96
2020-04-04,8,,55.76
2020-04-04,15,k,55.71
2020-04-04,16,,53.71
2020-04-04,5,,51.67
2020-04-04,27,,51.33
2020-04-04,20,,51.14
2020-04-04,27,,49.61
2020-04-04,7,inotown,49.45
2020-04-04,25,,48.99
2020-04-04,9,s,48.92
2020-04-04,10,,48.75
2020-04-04,22,k,48.68
2020-04-04,16,,48.18
2020-04-04,14,esh,48.16
2020-04-04,20,,48.01
2020-04-04,26,,47.88
2020-04-04,18,,46.17
2020-04-04,27,,46.01
2020-04-04,10,,46.01
2020-04-04,18,,45.95
2020-04-04,11,,45.88
2020-04-04,29,,45.53
2020-04-04,23,,45.28
2020-04-04,22,tone,45.03
2020-04-04,34,,44.88
2020-04-04,15,Cove,44.29
2020-04-04,6,,44.17
2020-04-04,17,,43.49
2020-04-04,36,,41.26
2020-04-04,15,,38.34
2020-04-04,16,,38.33
2020-04-04,22,,37.95
2020-04-04,16,,37.56
2020-04-04,11,,37.43
2020-04-04,13,,37.03
2020-04-04,19,r,36.92
2020-04-04,33,,35.54
2020-04-04,27,,35.52
2020-04-04,21,,34.47
2020-04-04,15,,34.33
2020-04-04,13,rict,34.04
2020-04-04,8,,33.43
2020-04-04,11,s,33.28
2020-04-04,19,,33.17
2020-04-04,25,,32.13
2020-04-04,14,,31.88
2020-04-04,15,,31.14
2020-04-04,21,,30.99
2020-04-04,12,,30.27
2020-04-04,8,,28.39
2020-04-04,15,,27.72
2020-04-04,22,,27.52
2020-04-04,11,,26.4
2020-04-04,13,,23.55
2020-04-04,0,,0.0
2020-04-04,0,,0.0
2020-04-04,0,ts,0.0
2020-04-04,0,ls,0.0
2020-04-04,0,,0.0
2020-04-04,0,e,0.0
2020-04-04,0,e,0.0
2020-04-04,0,are,0.0
2020-04-04,0,,0.0
2020-04-04,0,,0.0
2020-04-04,0,,0.0
2020-04-05,37,,225.27
2020-04-05,24,,193.63
2020-04-05,15,,182.53
2020-04-05,24,,178.86
2020-04-05,20,,174.73
2020-04-05,21,,173.38
2020-04-05,129,,166.16
2020-04-05,17,,160.44
2020-04-05,12,,158.52
2020-04-05,46,,147.12
2020-04-05,6,la,136.58
2020-04-05,11,e,129.61
2020-04-05,84,,129.34
2020-04-05,37,s,128.14
2020-04-05,26,des,125.58
2020-04-05,29,,123.78
2020-04-05,16,,120.11
2020-04-05,17,,112.87
2020-04-05,33,,109.17
2020-04-05,5,,108.89
2020-04-05,10,,107.94
2020-04-05,46,,106.51
2020-04-05,9,,105.04
2020-04-05,15,,99.29
2020-04-05,39,,91.69
2020-04-05,6,,89.55
2020-04-05,28,,89.21
2020-04-05,19,,89.03
2020-04-05,19,,88.77
2020-04-05,5,,86.48
2020-04-05,39,,86.36
2020-04-05,25,,85.45
2020-04-05,15,,84.9
2020-04-05,8,,80.13
2020-04-05,18,,74.23
2020-04-05,6,,73.0
2020-04-05,27,es,72.02
2020-04-05,20,,71.12
2020-04-05,9,ce,67.36
2020-04-05,7,,66.9
2020-04-05,10,hran,66.64
2020-04-05,43,,66.62
2020-04-05,5,,65.45
2020-04-05,10,ark,64.92
2020-04-05,52,,62.84
2020-04-05,18,,62.16
2020-04-05,52,,61.2
2020-04-05,18,,60.01
2020-04-05,20,,58.59
2020-04-05,21,,58.27
2020-04-05,8,ict,58.16
2020-04-05,24,,57.29
2020-04-05,17,,56.96
2020-04-05,86,d,56.82
2020-04-05,10,,55.96
2020-04-05,8,,55.76
2020-04-05,15,k,55.71
2020-04-05,16,,53.71
2020-04-05,5,,51.67
2020-04-05,27,,51.33
2020-04-05,20,,51.14
2020-04-05,27,,49.61
2020-04-05,7,inotown,49.45
2020-04-05,25,,48.99
2020-04-05,9,s,48.92
2020-04-05,10,,48.75
2020-04-05,22,k,48.68
2020-04-05,16,,48.18
2020-04-05,14,esh,48.16
2020-04-05,20,,48.01
2020-04-05,26,,47.88
2020-04-05,18,,46.17
2020-04-05,27,,46.01
2020-04-05,10,,46.01
2020-04-05,18,,45.95
2020-04-05,11,,45.88
2020-04-05,29,,45.53
2020-04-05,23,,45.28
2020-04-05,22,tone,45.03
2020-04-05,34,,44.88
2020-04-05,15,Cove,44.29
2020-04-05,6,,44.17
2020-04-05,17,,43.49
2020-04-05,36,,41.26
2020-04-05,15,,38.34
2020-04-05,16,,38.33
2020-04-05,22,,37.95
2020-04-05,16,,37.56
2020-04-05,11,,37.43
2020-04-05,13,,37.03
2020-04-05,19,r,36.92
2020-04-05,33,,35.54
2020-04-05,27,,35.52
2020-04-05,21,,34.47
2020-04-05,15,,34.33
2020-04-05,13,rict,34.04
2020-04-05,8,,33.43
2020-04-05,11,s,33.28
2020-04-05,19,,33.17
2020-04-05,25,,32.13
2020-04-05,14,,31.88
2020-04-05,15,,31.14
2020-04-05,21,,30.99
2020-04-05,12,,30.27
2020-04-05,8,,28.39
2020-04-05,15,,27.72
2020-04-05,22,,27.52
2020-04-05,11,,26.4
2020-04-05,13,,23.55
2020-04-05,0,,0.0
2020-04-05,0,,0.0
2020-04-05,0,ts,0.0
2020-04-05,0,ls,0.0
2020-04-05,0,,0.0
2020-04-05,0,e,0.0
2020-04-05,0,e,0.0
2020-04-05,0,are,0.0
2020-04-05,0,,0.0
2020-04-05,0,,0.0
2020-04-05,0,,0.0
